Timestamp,time,BME_Temp,BME_Humidity,BME_VOC_Ohm,MQ3_Bottom_Analog,MQ3_Bottom_PPM,MQ3_Top_Analog,MQ3_Top_PPM,Time_to_Spoilage_Minutes
2025-06-16 14:58:18,319994,24.05,57.91,9.0,0,0.0,0,0.0,2725
2025-06-16 14:59:18,379994,24.01,60.35,8.73,2453,154.3,2270,93.14,2724
2025-06-16 15:00:18,439994,23.95,60.32,8.41,0,0.0,0,0.0,2723
2025-06-16 15:01:18,499994,23.77,58.11,8.25,0,0.0,0,0.0,2722
2025-06-16 15:02:18,559994,23.55,59.36,8.2,31,0.0,0,0.0,2721
2025-06-16 15:03:18,619994,23.3,59.97,8.04,0,0.0,0,0.0,2720
2025-06-16 15:04:18,679994,23.06,61.05,7.91,0,0.0,0,0.0,2719
2025-06-16 15:05:18,739994,22.84,61.79,7.67,2013,44.3,2079,54.41,2718
2025-06-16 15:06:18,799994,22.67,64.07,7.4,0,0.0,29,0.0,2717
2025-06-16 15:07:18,859994,22.53,65.58,7.09,0,0.0,0,0.0,2716
2025-06-16 15:08:18,919994,22.44,66.31,7.09,2279,93.6,2349,116.65,2715
2025-06-16 15:09:26,65950,22.87,68.78,11.45,2174,69.58,2320,107.37,2714
2025-06-16 15:10:26,125950,22.74,70.42,8.95,0,0.0,0,0.0,2713
2025-06-16 15:11:26,185950,22.67,71.41,8.1,43,0.0,268,0.02,2712
2025-06-16 15:12:26,245950,22.64,72.47,7.43,0,0.0,0,0.0,2711
2025-06-16 15:13:26,305950,22.64,72.56,6.91,2296,98.23,2358,119.69,2710
2025-06-16 15:14:26,365950,22.66,72.15,6.5,0,0.0,0,0.0,2709
2025-06-16 15:15:26,425950,22.69,72.2,6.16,0,0.0,32,0.0,2708
2025-06-16 15:16:26,485950,22.72,72.67,5.89,131,0.0,292,0.03,2707
2025-06-16 15:17:26,545950,22.78,72.84,5.66,2347,113.61,2496,178.66,2706
2025-06-16 15:18:26,605950,22.83,72.84,5.43,78,0.0,242,0.02,2705
2025-06-16 15:20:26,725950,22.95,72.84,5.18,0,0.0,0,0.0,2703
2025-06-16 15:21:26,785950,23.03,72.81,5.26,0,0.0,71,0.0,2702
2025-06-16 15:22:26,845950,23.11,72.98,5.17,0,0.0,0,0.0,2701
2025-06-16 15:23:26,905950,23.19,73.25,5.03,1651,15.84,2101,57.87,2700
2025-06-16 15:25:33,125867,24.05,73.42,6.05,3798,72893.98,4093,156101935104.0,2698
2025-06-16 15:26:33,185867,23.97,73.54,5.39,0,0.0,0,0.0,2697
2025-06-16 15:27:33,245867,23.93,73.65,4.97,11,0.0,217,0.01,2696
2025-06-16 15:28:33,305867,23.91,73.57,4.71,1999,42.6,2192,74.73,2695
2025-06-16 15:29:33,365867,23.92,73.63,4.51,269,0.02,496,0.17,2694
2025-06-16 15:30:33,425867,23.94,73.8,4.32,2674,299.13,2896,624.81,2693
2025-06-16 15:31:33,485867,23.97,73.92,4.2,2455,155.2,2666,297.92,2692
2025-06-16 15:32:33,545867,24.0,73.97,4.12,0,0.0,0,0.0,2691
2025-06-16 15:33:33,605867,24.05,74.05,4.05,0,0.0,209,0.01,2690
2025-06-16 15:34:33,665867,24.1,74.19,3.96,0,0.0,106,0.0,2689
2025-06-16 15:35:33,725867,24.15,74.29,3.88,247,0.02,462,0.13,2688
2025-06-16 15:37:33,845867,24.26,74.47,3.77,702,0.53,841,1.03,2686
2025-06-16 15:39:41,65713,25.19,74.89,5.6,2129,61.32,2354,118.33,2684
2025-06-16 15:40:41,125713,25.04,74.96,4.59,1958,37.97,2442,152.55,2683
2025-06-16 15:41:41,185713,24.94,75.15,4.16,3583,12935.63,3963,860381.06,2682
2025-06-16 15:42:41,245713,24.87,75.13,3.89,0,0.0,0,0.0,2681
2025-06-16 15:43:41,305713,24.83,74.98,3.74,3507,8178.91,3849,132721.47,2680
2025-06-16 15:45:41,425713,24.8,74.87,3.53,2729,355.12,3240,2273.68,2678
2025-06-16 15:46:41,485713,24.8,74.89,3.43,0,0.0,0,0.0,2677
2025-06-16 15:47:41,545713,24.82,74.93,3.34,0,0.0,0,0.0,2676
2025-06-16 15:48:41,605713,24.84,74.99,3.31,147,0.0,368,0.07,2675
2025-06-16 15:49:41,665713,24.86,75.09,3.25,0,0.0,0,0.0,2674
2025-06-16 15:50:41,725713,24.9,75.33,3.2,0,0.0,227,0.01,2673
2025-06-16 15:51:41,785713,24.94,75.95,3.16,130,0.0,397,0.08,2672
2025-06-16 15:52:41,845713,24.98,76.36,3.1,110,0.0,144,0.0,2671
2025-06-16 15:55:48,125745,25.77,77.96,3.75,1979,40.27,2224,81.78,2668
2025-06-16 15:56:48,185745,25.68,78.2,3.41,2593,233.61,2825,493.38,2667
2025-06-16 15:57:48,245745,25.62,78.58,3.23,578,0.27,720,0.59,2666
2025-06-16 15:58:48,305745,25.6,78.98,3.11,0,0.0,0,0.0,2665
2025-06-16 15:59:48,365745,25.59,79.26,3.03,12,0.0,259,0.02,2664
2025-06-16 16:00:48,425745,25.6,79.61,2.97,1334,6.06,1499,10.31,2663
